3L3 3333,2365,Skoda,Octavia,EE874563,Vrantisek Novy,1524519603,25493,49,12.61,1524519603,TTTTTTTTTT,9.430000,49.200001,Mobile,87.6
1L1 1254,8745,Kia,Soul,AT542365,Kamil Vratny,1524519635,25500,48,13.14,1524519635,TTTTTTTTTT,17.200001,46.549999,Mobile,87.6
9A2 5444,1236,Pegueot,305,TE874521,Bozena Laskava,1524519672,25508,47,13.67,1524519672,TTTTTTTTTT,30.070000,77.209999,Mobile,87.6
9A2 5444,8745,VW,VW,TE874521,Bozena Laskava,1524519758,25516,46,12.19,1524519758,SSSSSSSSSS,18.240000,49.790001,Mobile,96.4
2M3 8745,1254,BMW,X5,EW963258,Emil Korenar,1524519848,25525,45,12.72,1524519848,SSSSSSSSSS,34.849998,71.790001,Mobile,96.4
1A3 9874,5974,Audi,A5,EE874563,Vrantisek Novy,1524519886,25535,44,13.26,1524519886,SSSSSSSSSS,29.900000,76.089996,Mobile,96.4
5A7 8454,2365,Skoda,Superb,TE874521,Kamil Vratny,1524519928,25535,43,13.79,1524519928,SSSSSSSSSS,27.040001,44.930000,Mobile,96.4
1L1 1254,8745,Kia,Soul,DE874524,Kamil Vratny,1524520019,25535,42,12.31,1524520019,SSSSSSSSSS,15.800000,42.279999,Mobile,96.4
9A2 5444,1236,Pegueot,305,EI125478,Petr Novak,1524520115,25535,41,12.84,1524520115,SSSSSSSSSS,9.070000,48.180000,Mobile,96.4
8D2 5478,6985,VW,VW,DE874524,Vlasta Novakova,1524520158,25536,40,13.37,1524520158,SSSSSSSSSS,16.840000,45.520000,Mobile,96.4
5A7 8454,6985,BMW,M5,TE874521,Bozena Laskava,1524520206,25538,39,13.90,1524520206,SSSSSSSSSS,24.610001,51.430000,Mobile,96.4
1A3 9874,5974,Audi,A5,TE874521,Bozena Laskava,1524520302,25541,38,12.42,1524520302,SSSSSSSSSS,17.879999,48.770000,Mobile,96.4
